"id","code","unit","value_domain","description"
0,"temperature","C","float","Temperature"
1,"current","A","float","Electric current aggregated (sensor supplied AVG/MIN/MAX)"
2,"voltage","V","float","Voltage from automaton if available"
4,"humidity","%","float","Humidity"
29,"current_setpoint","A","float","Current setpoint automaton"
30,"voltage_setpoint","V","float","Voltage setpoint automaton"
31,"current_measured","A","float","Current measured automaton"
32,"voltage_measured","V","float","Voltage measured automaton"
33,"recipe_number",NULL,"int","Recipe number"
34,"segment_number",NULL,"int","Segment number"
35,"total_segments",NULL,"int","Total segments"
36,"time_remaining","s","int","Remaining time in segment"
37,"time_remaining_total","s","int","Remaining total time"
